StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade,Study Hours,Attendance (%),Online Classes Taken
942.0,Benjamin Davis,female,91.8,20.9,69.4,1.0,Medium,85.0,5.1,79.4,True
583.0,Michael Jackson, Male ,100.0,10.7,74.6,1.0, High ,79.7,-0.8,44.6,False
60.0,Daniel Martinez,male,62.7,5.7,82.9,2.0, Medium ,78.8,-4.8,68.8,
169.0,James Allen,FEMALE,85.8,,89.7,1.0, Medium ,82.5,2.2,91.1,True
395.0,Abigail Miller,Male,86.8,11.1,76.1,1.0,Low,68.0,2.4,67.1,False
784.0,Michael Young,Female,91.4,17.5,66.0,0.0,Low,68.4,3.3,69.0,True
744.0,Ava Smith,female,88.0,22.6,100.0,1.0,medium,96.2,3.4,73.2,False
140.0,Mia Martin,Male,71.3,22.2,91.8,2.0,Medium,90.5,0.9,67.6,False
603.0,Matthew Ramirez,Female,84.7,30.8,67.2,2.0,Low,91.8,2.3,80.4,False
245.0,Ethan Robinson,,84.4,17.3,81.3,1.0,High,78.5,0.2,33.9,True
661.0,Olivia Perez,Male,87.6,18.0,67.3,1.0,Low,72.3,2.4,109.8,False
482.0,Jackson Smith,Female,82.9,23.6,71.3,0.0, Medium ,76.9,2.0,105.6,False
87.0,Alex Ramirez,Female,64.2,14.1,94.3,1.0,,,3.1,47.4,
802.0,Sophia Moore,,74.2,9.4,88.4,0.0,High,,-5.4,150.5,True
334.0,Jackson Ramirez,Female,79.0,12.9,83.7,1.0,HIGH,,0.3,96.9,False
260.0,Harper Ramirez,Female,68.6,9.5,78.4,0.0,,77.6,1.7,52.2,
406.0,Amelia Jones,,83.6,8.5,61.9,0.0,Low,68.9,3.8,92.2,False
108.0,Evelyn Walker,male,83.6,18.6,60.7,1.0,Medium,69.6,3.4,110.5,False
363.0,Liam Wilson,Female,94.2,20.1,74.2,1.0,High,97.1,0.5,103.1,True
965.0,David Ramirez,Female,83.0,32.9,63.0,1.0,Medium,84.9,2.0,97.1,False
211.0,Noah Perez,FEMALE,81.1,20.1,80.9,2.0,high,85.1,1.1,98.6,False
232.0,Elizabeth Sanchez,MALE,66.3,9.8,74.0,1.0,High,68.6,1.6,88.0,True
930.0,Harper Young,Female,81.6,12.9,94.2,2.0,Medium,85.5,0.8,114.0,False
347.0,Charlotte Lewis, Male ,86.8,26.4,65.0,2.0,High,95.8,3.1,66.7,True
537.0,Mia Jones,Male,85.0,,87.1,0.0, Medium ,83.8,0.6,61.4,True
97.0,Noah Lewis,,74.7,3.4,72.5,2.0,Medium,71.5,2.5,92.8,True
77.0,Sophia Harris,Male,89.5,10.8,86.3,1.0,MEDIUM,71.8,4.1,73.3,False
345.0,Sofia Garcia,Female,82.9,10.9,,1.0, Medium ,77.2,1.8,57.4,False
310.0,Michael Lewis,Female,100.0,20.6,,0.0,High,90.8,1.4,71.8,True
658.0,Ethan Robinson,MALE,83.1,15.1,86.7,1.0,HIGH,86.8,-7.8,81.8,False
998.0,James Allen,,76.0,10.3,71.8,,MEDIUM,76.7,3.1,54.0,False
899.0,Alex Sanchez,Female,94.1,9.9,69.6,2.0,medium,94.4,3.9,30.2,True
621.0,Mia Davis,Female,86.1,13.2,88.3,1.0,High,85.7,2.9,95.4,False
855.0,Ava Brown,Female,87.0,22.5,74.7,0.0,High,84.3,1.4,82.3,True
11.0,Amelia Rodriguez,male,,13.2,56.5,0.0,Medium,70.6,-5.7,67.7,True
900.0,Ethan Wilson,MALE,97.7,17.0,98.5,2.0,Medium,88.5,5.3,77.0,False
329.0,,male,85.0,12.5,96.4,0.0, Low ,81.5,3.2,94.6,False
704.0,Olivia Garcia,Female,88.3,20.1,58.9,3.0,Medium,75.5,-6.8,42.0,False
278.0,Emily Clark,male,80.1,14.6,93.5,1.0,High,77.5,2.8,110.6,False
291.0,Jackson Davis,Male,74.3,18.3,71.6,2.0,HIGH,75.5,4.4,79.9,True
199.0,James Ramirez,female,,14.9,64.1,1.0,MEDIUM,82.9,1.8,91.2,False
324.0,Sofia Robinson,Female,72.2,22.4,91.2,0.0,Medium,85.8,3.3,94.7,False
891.0,Alex Garcia,Male,88.5,16.4,72.6,0.0,Medium,81.8,2.7,74.3,True
533.0,Emma Walker,Female,84.3,,71.3,,MEDIUM,80.0,3.3,51.6,False
31.0,Mia Moore,FEMALE,75.8,20.9,60.5,1.0,Low,70.6,2.3,82.1,False
782.0,Evelyn Wilson,Female,73.9,10.9,64.8,2.0,High,74.0,0.5,59.1,False
897.0,Amelia Lee,Female,83.5,12.3,85.1,2.0,High,80.8,-0.3,68.5,False
55.0,Lucas Williams,Female,65.2,,79.3,0.0,MEDIUM,74.0,4.0,101.7,True
24.0,Sofia Lewis,female,85.3,15.8,90.7,3.0,Medium,85.2,1.7,38.5,True
71.0,Emily White,Male,87.6,22.9,93.7,0.0,Medium,83.6,1.5,95.7,False
448.0,David Young,female,83.5,16.1,62.4,0.0,High,85.7,3.0,58.9,False
4.0,Mia Robinson,male,86.6,8.9,58.4,2.0,MEDIUM,73.3,2.9,78.4,False
248.0,,Male,84.6,0.0,82.2,1.0,High,64.5,1.3,70.7,False
889.0,John Johnson,Male,,19.2,79.9,2.0,High,92.7,1.3,95.4,False
827.0,Daniel Brown,male,89.0,7.8,66.4,,low,80.4,2.5,98.3,False
515.0,David Davis,Male,68.6,16.7,67.0,1.0,MEDIUM,,4.4,101.9,False
486.0,Liam Lewis,Male,64.0,17.4,74.4,1.0,MEDIUM,,2.9,63.3,False
661.0,Olivia Perez,Male,87.6,18.0,67.3,1.0,Low,72.3,2.4,109.8,False
412.0,Liam Martin,Male,76.4,11.9,62.7,1.0, High ,63.4,2.7,63.2,False
890.0,,Male,89.5,10.5,81.2,,High,81.0,2.6,70.5,False
887.0,Sarah Thompson,Female,80.2,17.5,64.3,0.0,Medium,78.5,2.6,53.6,False
978.0,Harper Wilson,Female,84.8,16.6,84.8,0.0, Medium ,80.1,4.5,125.2,False
,Emily Brown,Male,60.2,14.2,83.4,1.0,Medium,75.7,-2.4,65.0,False
,Lucas Taylor,Female,67.1,24.7,71.7,1.0,Medium,85.9,3.2,72.5,
405.0,Lucas Garcia,MALE,84.9,9.5,54.4,0.0,medium,59.2,2.8,92.7,False
450.0,Ava Brown,Male,86.4,19.3,57.0,0.0,Medium,71.7,1.7,193.6,False
306.0,Emma White,Male,,11.8,89.0,0.0,Medium,77.3,2.6,102.3,False
412.0,Liam Martin,Male,76.4,11.9,62.7,1.0, High ,63.4,2.7,63.2,False
,Harper Johnson,Male,83.0,13.8,91.6,1.0, Medium ,81.4,3.2,65.4,True
40.0,Ethan Ramirez,Male,70.2,23.4,82.1,1.0,Low,90.2,1.8,90.4,False
,Sarah Jackson,Female,72.0,2.4,79.1,1.0,High,72.9,3.5,37.7,False
159.0,Amelia Anderson,Female,85.2,11.4,79.2,2.0,LOW,72.7,3.1,46.6,True
276.0,Lucas Harris,Male,91.1,13.6,69.6,2.0,High,74.7,4.6,72.7,False
287.0,Emma Walker,Female,76.2,22.3,55.0,1.0,Low,68.9,2.5,72.9,False
67.0,,FEMALE,94.0,15.6,79.6,0.0,medium,,2.7,89.5,True
425.0,Benjamin Davis,Male,61.9,16.0,,2.0,HIGH,79.7,2.0,104.0,False
68.0,Isabella Thompson, Female ,,13.8,59.1,0.0,Medium,66.3,1.7,38.7,True
102.0,Olivia Moore,female,83.4,16.3,76.4,1.0,High,81.3,5.1,89.5,False
200.0,David Perez,Male,83.3,18.7,75.1,1.0, Medium ,78.9,3.6,82.9,
790.0,John Sanchez,Female,93.7,,92.6,1.0,LOW,80.2,3.4,49.3,False
559.0,,MALE,87.8,18.3,71.1,4.0,Medium,96.7,1.3,35.3,False
527.0,Sofia Martinez,Male,84.0,17.3,61.5,1.0,Medium,83.2,1.4,139.4,True
888.0,Olivia Taylor, Male ,75.1,17.1,47.9,1.0,High,76.5,4.8,99.7,
618.0,Noah Jackson,Male,82.5,5.6,69.2,1.0,LOW,63.4,4.4,64.5,False
545.0,Jackson Miller,Female,68.0,14.4,92.2,2.0,,80.0,4.6,65.1,True
923.0,Mia Ramirez,Male,66.7,27.3,80.7,2.0,,84.5,2.0,75.9,True
667.0,Amelia Sanchez,Male,100.0,15.7,87.1,1.0, Medium ,97.1,0.7,156.6,False
389.0,Sebastian Robinson,Female,78.2,,85.4,2.0,High,89.4,2.0,106.8,True
255.0,Evelyn Thompson,MALE,71.9,15.2,65.6,2.0,Medium,86.4,2.5,174.3,True
281.0,Ava Sanchez,Female,78.1,10.9,56.0,1.0,Medium,69.9,1.7,71.0,False
449.0,Amelia Sanchez,FEMALE,77.3,8.8,62.5,0.0,HIGH,58.1,2.3,60.5,False
101.0,Jackson Moore,Female,78.1,18.2,83.6,0.0,High,85.5,3.5,86.2,True
89.0,Emily Thompson,MALE,87.5,5.6,65.9,0.0,,77.4,2.6,87.8,True
64.0,Charlotte Harris,Female,80.1,5.2,56.0,1.0,medium,73.3,2.3,79.5,True
842.0,Evelyn Williams,female,73.1,28.4,88.2,2.0,Medium,,3.9,77.3,False
137.0,Ethan Harris,Female,85.2,23.4,69.9,1.0,HIGH,81.4,4.1,80.5,False
883.0,Mia Garcia,female,61.5,26.1,74.0,3.0,,85.2,5.1,92.4,True
433.0,Jackson Garcia,Male,70.6,15.4,46.9,1.0,Low,67.3,1.7,165.5,False
614.0,,Female,79.4,20.6,92.0,1.0, High ,94.1,3.3,67.9,False
939.0,Mia Young,Female,75.6,4.9,62.8,1.0,Medium,63.2,2.5,54.5,True
584.0,Sarah Taylor,Female,74.4,13.0,57.7,2.0,LOW,66.3,3.4,82.1,False
214.0,Mia Robinson,Male,86.5,18.9,51.8,1.0,Medium,71.9,0.5,109.6,True
110.0,Abigail Johnson,Male,66.1,18.8,85.2,0.0,Low,68.8,0.9,79.7,True
918.0,Emily Moore,FEMALE,75.0,14.3,73.4,0.0,High,71.0,4.4,67.9,False
216.0,Ava Brown,Male,65.8,18.2,98.7,0.0,Medium,82.5,2.0,70.8,False
953.0,Ethan Williams,Female,65.0,16.8,84.0,0.0,High,82.9,3.6,71.6,True
517.0,Sebastian Moore,Female,63.1,11.3,78.8,1.0,Low,78.9,2.6,75.7,True
756.0,Mia Martinez,female,82.1,18.8,91.6,3.0,medium,93.5,1.6,85.0,False
311.0,Evelyn Jackson, Male ,77.5,21.8,69.7,1.0,Low,79.3,1.4,78.7,True
665.0,Harper Jackson,Male,81.7,17.5,84.0,0.0,high,92.2,1.1,75.1,True
993.0,Olivia Rodriguez,male,87.4,27.6,58.9,2.0,Medium,88.4,-0.7,71.8,True
752.0,Emma Robinson,Male,,15.6,78.6,0.0,Medium,100.0,5.7,93.3,True
,Olivia Taylor,Male,82.9,27.0,81.6,1.0,Low,,-3.6,69.4,False
308.0,Henry Davis,MALE,90.4,26.5,80.4,1.0,High,,3.0,80.2,False
524.0,Jackson Jones,Male,79.5,17.6,58.6,0.0,medium,74.0,4.4,57.8,True
581.0,Alex Rodriguez,Male,91.2,23.6,76.1,2.0,high,89.5,2.9,82.1,True
560.0,Elizabeth Lewis,female,86.8,3.7,75.1,0.0,low,64.6,3.6,54.6,False
674.0,Alex Sanchez,MALE,85.2,12.3,74.1,0.0, High ,77.8,1.3,92.1,False
966.0,Harper Sanchez,female,93.3,18.3,83.7,0.0,MEDIUM,94.1,2.3,65.4,False
762.0,Henry Taylor,Male,74.3,16.5,81.5,1.0,Low,72.2,0.9,79.5,False
600.0,, Male ,71.1,14.1,73.8,1.0,Medium,80.2,2.1,68.7,False
313.0,Michael Clark,FEMALE,69.0,14.5,80.0,1.0,MEDIUM,73.2,4.3,44.0,False
514.0,Jackson Martinez,Female,99.0,12.5,95.4,0.0,,84.3,1.3,92.8,False
532.0,Emma Smith,Female,87.5,25.8,62.6,2.0,High,91.5,1.0,78.4,True
209.0,Noah Rodriguez,MALE,84.8,15.9,54.2,2.0,Medium,72.9,2.7,92.9,False
487.0,James Jones, Male ,74.5,25.6,90.7,0.0,Medium,87.7,3.6,94.6,False
865.0,Elizabeth Lewis,Male,58.2,21.5,63.8,2.0,High,92.3,2.1,74.3,
686.0,Jackson Jackson,Male,75.1,18.2,52.9,3.0,Low,79.6,3.6,140.0,False
974.0,Lucas Wilson,Female,83.0,16.6,79.5,1.0, High ,78.3,1.8,99.5,False
540.0,John Perez,Male,100.0,14.0,60.0,3.0,High,93.1,1.4,108.3,True
56.0,Sarah Allen,Male,84.1,,71.3,0.0,Low,76.6,2.1,157.9,False
121.0,Mia Smith, Female ,93.9,10.1,82.7,0.0,Medium,80.1,1.4,87.9,False
821.0,John Martinez,Female,94.4,26.5,91.9,1.0,LOW,96.0,3.9,68.6,True
26.0,Evelyn Johnson,Male,73.9,15.3,88.0,0.0,Medium,78.0,1.2,68.8,True
73.0,Mia Sanchez,Male,91.8,17.5,,1.0,Medium,83.5,1.5,89.1,True
997.0,Amelia Martin,Male,92.0,17.4,67.5,3.0,LOW,72.6,2.9,76.7,True
45.0,Alex Harris,Male,79.9,23.3,76.9,2.0,Medium,84.8,-0.4,91.4,True
709.0,Lucas Davis,Female,74.6,10.5,73.9,0.0,Low,63.3,0.3,91.5,
757.0,Matthew Wilson,Female,82.1,8.1,89.5,3.0,MEDIUM,78.1,3.5,55.2,False
907.0,Benjamin Rodriguez,FEMALE,93.2,16.2,80.4,1.0,HIGH,81.1,0.9,88.4,True
351.0,Amelia Johnson,FEMALE,62.5,12.2,78.2,1.0,low,71.5,1.0,70.4,False
604.0,Emma Martinez,Female,85.8,17.0,67.5,0.0,high,81.5,1.0,31.2,False
,Sofia Thompson,FEMALE,73.5,18.5,79.5,0.0,Medium,74.6,3.4,60.5,False
262.0,Olivia Walker,female,68.0,23.7,83.4,2.0,Medium,,0.4,74.1,False
372.0,Evelyn Wilson,FEMALE,82.6,21.9,100.0,1.0,Medium,88.2,3.7,63.3,False
970.0,,Female,100.0,20.8,,3.0,Medium,77.6,3.5,53.0,True
657.0,Matthew Lewis,Male,82.6,12.0,88.5,1.0,,85.6,0.7,140.0,True
175.0,Daniel Smith,Male,84.8,22.8,72.9,1.0,Medium,90.9,2.9,96.0,False
589.0,Elizabeth Lewis,FEMALE,83.0,21.3,72.9,0.0,High,79.3,3.9,71.8,False
737.0,Abigail Jackson,Female,80.2,8.2,78.4,1.0,High,80.8,0.6,67.8,False
969.0,Sofia Lewis,Female,81.8,27.3,72.7,2.0, High ,87.9,1.8,70.7,False
723.0,Elizabeth Thompson,Male,63.4,11.7,58.0,3.0,High,69.6,0.8,76.6,False
210.0,Emily Young,Male,75.0,12.1,76.6,0.0, High ,79.6,0.4,100.1,False
964.0,Liam Ramirez,male,77.6,10.1,66.7,0.0,Medium,71.1,6.1,59.4,False
61.0,Sofia Clark,FEMALE,69.3,14.7,66.3,1.0,Medium,70.8,4.8,85.5,False
480.0,Michael Taylor,Male,74.0,11.5,92.8,0.0,Medium,81.2,2.3,70.0,True
494.0,Ethan Martinez,Female,75.5,0.9,70.1,1.0,High,56.5,-0.2,114.6,True
959.0,Charlotte Thompson,Female,88.2,16.8,79.4,0.0,Medium,78.4,1.9,81.0,False
465.0,John Lewis,Male,81.4,11.9,75.2,1.0,Medium,77.5,4.5,85.1,True
421.0,Sofia Young,Male,89.2,17.8,,4.0,Medium,84.0,2.8,21.1,False
717.0,Amelia Thompson,Male,86.8,,79.9,1.0,Low,75.5,1.8,50.0,True
606.0,Henry Robinson,Female,80.3,16.0,80.0,0.0,Medium,79.2,2.5,56.7,False
535.0,Harper Ramirez,Female,82.9,13.1,,1.0,MEDIUM,,0.5,88.7,False
,Noah Walker,Male,93.2,13.4,88.1,1.0,,85.9,4.7,81.9,True
320.0,Emily Anderson,,96.6,9.9,52.4,0.0,Medium,62.9,3.3,61.1,False
909.0,Isabella Johnson,MALE,73.2,17.8,73.4,1.0,Medium,75.5,4.4,62.4,
257.0,Daniel Miller,Female,76.2,16.7,84.2,0.0, Medium ,85.2,2.7,49.8,True
,,Male,97.8,12.3,83.9,,Medium,83.6,4.4,79.8,True
676.0,,FEMALE,78.5,9.3,67.7,4.0,Medium,74.2,3.1,82.9,False
281.0,Ava Sanchez,Female,78.1,10.9,56.0,1.0,Medium,69.9,1.7,71.0,False
111.0,Ava Perez,male,82.3,29.6,83.7,2.0,Medium,89.3,2.3,111.5,False
719.0,Noah Taylor,Female,88.0,19.8,49.8,2.0,MEDIUM,67.7,4.6,82.4,False
786.0,Harper Davis,Male,75.8,18.0,74.7,1.0,Low,65.3,1.6,36.3,False
356.0,Charlotte Moore,MALE,77.4,12.8,66.2,2.0,Medium,71.6,3.3,67.7,False
768.0,Lucas Moore,Female,87.8,15.6,98.4,0.0,High,81.1,3.6,54.2,False
,Noah Perez,FEMALE,56.0,7.9,82.6,0.0,High,77.5,2.5,104.2,True
,Emily Allen,MALE,93.1,9.4,73.0,0.0,Low,84.2,2.7,78.3,False
520.0,Harper Thomas,female,86.9,29.8,84.3,1.0,Low,88.4,2.8,81.6,False
424.0,Harper White,FEMALE,83.0,22.8,89.8,0.0, Medium ,89.6,2.2,62.8,False
550.0,,Male,88.3,20.4,89.0,2.0,medium,100.0,-2.9,69.7,False
753.0,Alex Perez,Female,94.9,,81.6,,high,96.8,3.6,81.0,False
443.0,Michael Young,male,88.0,22.1,56.7,2.0,Medium,66.9,0.9,80.1,True
238.0,Benjamin Brown, Male ,100.0,16.9,73.0,0.0,Medium,78.6,2.8,70.3,True
742.0,Matthew Sanchez,,80.2,23.0,51.1,2.0,Medium,78.0,3.1,48.0,True
138.0,,Male,84.4,17.7,68.1,2.0,High,85.5,4.2,86.3,True
781.0,Sebastian Johnson,Male,94.3,22.7,75.4,0.0,Medium,75.0,2.4,158.4,False
755.0,Henry Perez,FEMALE,,22.1,73.6,0.0,Low,77.9,1.2,51.6,False
290.0,Lucas Perez,MALE,90.9,20.5,90.6,1.0,Medium,98.5,1.3,81.6,False
900.0,Ethan Wilson,MALE,97.7,17.0,98.5,2.0,Medium,88.5,5.3,77.0,False
261.0,Emily Davis,,92.5,17.1,75.6,0.0,low,77.4,4.0,68.7,True
766.0,Emily Young,Female,84.3,12.4,80.0,2.0,MEDIUM,74.8,4.4,76.3,True
300.0,John Smith,Female,82.7,21.2,53.6,1.0,MEDIUM,82.2,2.0,57.8,True
219.0,Mia Ramirez,Male,74.7,5.4,66.8,4.0,Medium,70.2,3.4,85.4,False
788.0,Daniel Williams,,74.6,7.9,81.0,1.0,High,78.3,-2.7,72.7,False
429.0,John Rodriguez, Female ,66.4,13.6,71.9,1.0,Low,69.0,-1.3,61.0,False
627.0,James Lee,female,81.0,9.0,65.2,1.0,Low,64.1,2.0,45.2,True
729.0,Lucas Thomas, Female ,100.0,13.9,66.3,1.0,High,76.0,3.3,93.9,False
366.0,Amelia Smith,MALE,88.7,15.3,71.9,,High,74.1,2.6,78.8,False
79.0,Henry Taylor,Male,72.7,19.7,85.4,0.0,medium,70.2,1.5,118.7,False
30.0,Mia Wilson,Male,83.8,16.0,72.2,0.0,High,94.6,2.2,82.6,True
295.0,,Female,93.0,22.5,72.3,0.0,High,92.8,4.7,62.5,True
478.0,John Anderson,Male,70.4,24.5,,2.0,Medium,93.0,1.0,80.6,False
549.0,Amelia Moore,Male,93.9,14.4,64.9,0.0,High,,2.5,78.3,False
656.0,Amelia Miller,female,79.4,20.5,67.7,1.0, Medium ,81.8,3.0,75.2,True
924.0,Emma Thomas,Female,76.8,12.0,66.7,1.0,HIGH,,0.1,50.0,False
166.0,Jackson Brown,Female,93.3,15.1,99.3,1.0,Medium,93.3,2.1,70.3,False
815.0,Emily Robinson,male,83.3,4.5,79.7,2.0,Medium,70.7,2.7,74.4,False
179.0,Sofia Davis,Female,82.1,20.0,77.8,3.0,Medium,71.4,2.9,91.3,True
483.0,Noah Rodriguez,Male,69.7,16.1,64.9,1.0,Medium,75.9,4.3,93.6,True
66.0,Sophia Anderson,female,92.8,20.1,93.8,1.0,Medium,91.8,1.5,89.1,False
,Liam Wilson,Female,93.3,24.5,100.0,0.0,Low,88.0,3.6,115.9,True
495.0,Ava Taylor,MALE,84.2,3.2,75.3,2.0,HIGH,74.8,-0.9,48.6,False
,Sophia Taylor,Male,84.7,11.3,70.5,1.0,Low,63.2,4.2,191.2,False
,Sofia Ramirez,Female,54.4,21.6,66.3,1.0,Medium,65.0,0.8,68.8,False
779.0,Ava Martinez, Male ,73.0,21.5,74.1,1.0,Medium,78.0,3.2,87.4,False
328.0,Sarah Williams,Male,66.1,15.7,75.5,1.0,Low,66.6,0.3,85.7,True
678.0,Alex Taylor,Female,90.5,22.4,77.4,1.0,Medium,86.8,3.4,73.1,False
434.0,Michael Martin,male,60.4,12.0,62.3,1.0, Low ,56.8,3.2,84.9,True
746.0,James Allen,Male,79.1,13.9,71.9,1.0,medium,80.0,2.6,47.5,False
836.0,Emily Jones,Female,91.3,19.7,80.4,,Medium,,1.9,77.9,True
,Mia Martin,Male,71.7,14.7,81.7,0.0, Low ,74.6,2.5,69.3,True
,Isabella Williams, Female ,63.5,14.1,88.9,0.0,Low,71.9,2.5,55.3,
236.0,Abigail Wilson,Female,86.1,21.7,65.5,1.0,Medium,79.0,2.1,83.4,False
322.0,Michael Rodriguez,male,83.0,12.0,52.8,0.0,Medium,59.1,3.5,81.8,False
193.0,Ethan Garcia,Male,87.4,23.7,85.2,0.0,High,84.1,1.8,25.0,False
319.0,David Thomas,Female,70.8,18.8,74.1,1.0,Medium,76.4,2.2,39.6,False
50.0,Emily Brown, Female ,,14.2,62.6,0.0,High,87.0,3.9,89.2,False
741.0,Jackson Taylor,Male,76.6,12.6,65.3,0.0,Low,66.3,0.8,94.3,False
3.0,Evelyn Martin,Male,73.5,15.1,59.2,1.0,Low,69.1,3.0,60.4,True
555.0,Charlotte Thomas,female,97.9,21.9,77.1,1.0,HIGH,,1.4,185.4,False
446.0,Evelyn Johnson,Female,,16.2,100.0,0.0,Medium,92.9,-0.7,102.3,True
920.0,Evelyn Jackson, Male ,81.1,14.3,59.1,0.0,,66.1,2.5,77.2,False
250.0,Sarah Allen,Male,80.4,15.3,71.7,1.0,medium,80.3,2.4,68.0,True
760.0,Abigail Lee,Male,67.1,22.0,70.4,1.0,HIGH,83.8,4.7,71.9,False
362.0,Sebastian Williams,Female,89.7,17.8,89.8,1.0,High,85.1,1.9,45.4,True
637.0,Noah Jones,male,90.7,24.0,81.6,0.0,Medium,82.0,3.3,81.9,True
963.0,Elizabeth Jones,Female,97.5,22.4,57.9,2.0,High,87.7,3.2,74.3,False
34.0,Henry Martinez,female,71.3,11.4,77.9,0.0,Medium,76.5,5.7,21.0,False
205.0,Mia Thompson,Male,93.9,13.5,73.0,1.0,high,83.1,0.4,67.6,False
534.0,Ava Garcia,MALE,91.7,30.3,66.7,2.0,Medium,100.0,2.1,75.3,False
685.0,Olivia Wilson,female,74.8,13.6,92.0,4.0,Low,89.6,0.8,28.0,False
747.0,Amelia Allen,Male,77.4,18.9,75.1,0.0,Low,74.2,2.4,44.4,False
78.0,Liam Jones,MALE,65.1,6.3,71.0,1.0,Medium,71.1,3.0,89.3,
85.0,Ethan Miller,Male,95.6,15.7,71.8,,HIGH,78.9,0.8,56.5,False
383.0,David Wilson,FEMALE,90.8,19.5,78.6,1.0,,84.7,0.2,61.8,False
83.0,Emma Young,Male,84.4,14.1,73.2,3.0,Medium,71.5,2.0,65.3,False
381.0,John Allen,Male,76.1,15.0,58.4,3.0,MEDIUM,73.3,4.5,109.9,True
430.0,Abigail Clark,Male,87.4,,66.3,0.0,,71.7,3.7,146.9,False
878.0,Matthew Robinson,Female,90.3,18.9,69.3,1.0,High,87.4,3.0,73.6,True
530.0,Sofia Walker,Female,68.4,24.3,64.1,3.0,MEDIUM,75.4,2.4,116.7,False
523.0,Olivia Garcia,Male,82.3,14.8,70.7,1.0,Low,76.0,4.0,88.8,
831.0,Noah Wilson,Female,86.5,14.7,69.7,0.0,MEDIUM,65.5,0.2,68.0,False
293.0,David Thomas,Male,75.4,6.3,72.9,0.0,High,65.0,4.8,74.1,True
6.0,Elizabeth Walker,Male,82.4,11.4,99.8,1.0,Low,74.1,0.7,55.3,False
423.0,Matthew Lee, Male ,,20.5,78.9,1.0,MEDIUM,84.5,2.2,47.1,False
957.0,Benjamin Jackson,Male,74.6,16.7,89.8,1.0,,91.0,3.6,60.9,True
98.0,Daniel Sanchez,Female,89.7,21.0,79.9,0.0,medium,82.7,1.3,40.8,
282.0,Lucas Sanchez,Male,96.8,19.9,65.9,0.0,medium,82.4,1.4,81.0,True
645.0,Emily Brown,Male,79.2,15.6,70.8,0.0,medium,66.2,2.4,68.9,
884.0,Emma Lewis,Male,80.1,20.7,69.2,0.0,High,83.0,4.1,72.9,False
267.0,Mia Johnson,female,72.6,10.6,,1.0,High,84.9,-3.9,52.4,False
440.0,Isabella Young,Male,71.2,,,0.0,Low,84.0,6.5,74.1,True
592.0,Sofia Wilson,male,69.8,10.4,,1.0,High,66.3,2.1,86.7,False
787.0,John Garcia,Male,,10.9,77.6,1.0,HIGH,84.8,1.0,74.5,True
663.0,Sarah Garcia,Male,73.9,20.1,,1.0,low,69.1,2.0,20.0,True
892.0,Abigail Davis,Female,88.2,18.5,61.2,2.0,High,81.5,3.9,74.3,False
119.0,Noah Harris,Female,59.9,,81.7,2.0,Medium,81.7,2.9,66.0,True
848.0,Sarah Martin,Male,82.1,20.2,100.0,2.0,Medium,90.8,4.0,85.8,False
251.0,Olivia Davis,Female,76.2,15.7,80.6,0.0,High,80.0,2.4,96.3,False
358.0,Sebastian Jones,MALE,91.3,20.7,77.2,2.0,Low,77.3,2.2,88.5,True
