Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade,Online Classes Taken,PerformanceLevel,Gender_enc,ParentalSupport_enc,OnlineClasses_enc,StudentID,Name,PredictedLevel
Female,68.6,9.5,78.4,0.0,Medium,77.6,False,Average,0,1,0,260.0,Harper Ramirez,Average
Male,83.6,8.5,61.9,0.0,Low,68.9,False,Low,1,0,0,406.0,Amelia Jones,Low
Male,83.6,18.6,60.7,1.0,Medium,69.6,False,Low,1,1,0,108.0,Evelyn Walker,Low
Female,94.2,20.1,74.2,1.0,High,97.1,True,High,0,2,1,363.0,Liam Wilson,High
Female,83.0,32.05,63.0,1.0,Medium,84.9,False,Average,0,1,0,965.0,David Ramirez,High
Female,81.1,20.1,80.9,2.0,High,85.1,False,High,0,2,0,211.0,Noah Perez,High
Male,66.3,9.8,74.0,1.0,High,68.6,True,Low,1,2,1,232.0,Elizabeth Sanchez,Low
Female,81.6,12.9,94.2,2.0,Medium,85.5,False,High,0,1,0,930.0,Harper Young,High
Male,86.8,26.4,65.0,2.0,High,95.8,True,High,1,2,1,347.0,Charlotte Lewis,High
Male,85.0,16.2,87.1,0.0,Medium,83.8,True,Average,1,1,1,537.0,Mia Jones,Average
Male,74.7,3.4,72.5,2.0,Medium,71.5,True,Average,1,1,1,97.0,Noah Lewis,Average
Male,89.5,10.8,86.3,1.0,Medium,71.8,False,Average,1,1,0,77.0,Sophia Harris,Average
Female,82.9,10.9,74.5,1.0,Medium,77.2,False,Average,0,1,0,345.0,Sofia Garcia,Average
Female,100.0,20.6,74.5,0.0,High,90.8,True,High,0,2,1,310.0,Michael Lewis,High
Male,83.1,15.1,86.7,1.0,High,86.8,False,High,1,2,0,658.0,Ethan Robinson,High
Male,76.0,10.3,71.8,1.0,Medium,76.7,False,Average,1,1,0,998.0,James Allen,Average
Female,94.1,9.9,69.6,2.0,Medium,94.4,True,High,0,1,1,899.0,Alex Sanchez,High
Female,86.1,13.2,88.3,1.0,High,85.7,False,High,0,2,0,621.0,Mia Davis,High
Female,87.0,22.5,74.7,0.0,High,84.3,True,Average,0,2,1,855.0,Ava Brown,Average
Male,81.8,13.2,56.5,0.0,Medium,70.6,True,Average,1,1,1,11.0,Amelia Rodriguez,Average
Male,97.7,17.0,98.5,2.0,Medium,88.5,False,High,1,1,0,900.0,Ethan Wilson,High
Male,85.0,12.5,96.4,0.0,Low,81.5,False,Average,1,0,0,329.0,,Average
Female,88.3,20.1,58.9,3.0,Medium,75.5,False,Average,0,1,0,704.0,Olivia Garcia,Average
Male,80.1,14.6,93.5,1.0,High,77.5,False,Average,1,2,0,278.0,Emily Clark,Average
Male,74.3,18.3,71.6,2.0,High,75.5,True,Average,1,2,1,291.0,Jackson Davis,Average
Female,81.8,14.9,64.1,1.0,Medium,82.9,False,Average,0,1,0,199.0,James Ramirez,Average
Female,72.2,22.4,91.2,0.0,Medium,85.8,False,High,0,1,0,324.0,Sofia Robinson,High
Male,88.5,16.4,72.6,0.0,Medium,81.8,True,Average,1,1,1,891.0,Alex Garcia,Average
Female,84.3,16.2,71.3,1.0,Medium,80.0,False,Average,0,1,0,533.0,Emma Walker,Average
Female,75.8,20.9,60.5,1.0,Low,70.6,False,Average,0,0,0,31.0,Mia Moore,Average
Female,73.9,10.9,64.8,2.0,High,74.0,False,Average,0,2,0,782.0,Evelyn Wilson,Average
Female,83.5,12.3,85.1,2.0,High,80.8,False,Average,0,2,0,897.0,Amelia Lee,Average
Female,65.2,16.2,79.3,0.0,Medium,74.0,True,Average,0,1,1,55.0,Lucas Williams,Average
Female,85.3,15.8,90.7,3.0,Medium,85.2,True,High,0,1,1,24.0,Sofia Lewis,Average
Male,87.6,22.9,93.7,0.0,Medium,83.6,False,Average,1,1,0,71.0,Emily White,High
Female,83.5,16.1,62.4,0.0,High,85.7,False,High,0,2,0,448.0,David Young,High
Male,86.6,8.9,58.4,2.0,Medium,73.3,False,Average,1,1,0,4.0,Mia Robinson,Average
Male,84.6,0.45000000000000284,82.2,1.0,High,64.5,False,Low,1,2,0,248.0,,Average
Male,81.8,19.2,79.9,2.0,High,92.7,False,High,1,2,0,889.0,John Johnson,High
Male,89.0,7.8,66.4,1.0,Low,80.4,False,Average,1,0,0,827.0,Daniel Brown,Average
Male,76.4,11.9,62.7,1.0,High,63.4,False,Low,1,2,0,412.0,Liam Martin,Low
Male,89.5,10.5,81.2,1.0,High,81.0,False,Average,1,2,0,890.0,,Average
Female,80.2,17.5,64.3,0.0,Medium,78.5,False,Average,0,1,0,887.0,Sarah Thompson,Average
Female,84.8,16.6,84.8,0.0,Medium,80.1,False,Average,0,1,0,978.0,Harper Wilson,Average
Male,60.2,14.2,83.4,1.0,Medium,75.7,False,Average,1,1,0,,Emily Brown,Average
Female,67.1,24.7,71.7,1.0,Medium,85.9,False,High,0,1,0,,Lucas Taylor,High
Male,84.9,9.5,54.4,0.0,Medium,59.2,False,Low,1,1,0,405.0,Lucas Garcia,Low
Male,86.4,19.3,57.0,0.0,Medium,71.7,False,Average,1,1,0,450.0,Ava Brown,Average
Male,81.8,11.8,89.0,0.0,Medium,77.3,False,Average,1,1,0,306.0,Emma White,Average
Male,83.0,13.8,91.6,1.0,Medium,81.4,True,Average,1,1,1,,Harper Johnson,Average
Male,70.2,23.4,82.1,1.0,Low,90.2,False,High,1,0,0,40.0,Ethan Ramirez,High
Female,72.0,2.4,79.1,1.0,High,72.9,False,Average,0,2,0,,Sarah Jackson,Average
Female,85.2,11.4,79.2,2.0,Low,72.7,True,Average,0,0,1,159.0,Amelia Anderson,Average
Male,91.1,13.6,69.6,2.0,High,74.7,False,Average,1,2,0,276.0,Lucas Harris,Average
Female,76.2,22.3,55.0,1.0,Low,68.9,False,Low,0,0,0,287.0,Emma Walker,Low
Male,61.9,16.0,74.5,2.0,High,79.7,False,Average,1,2,0,425.0,Benjamin Davis,Average
Female,81.8,13.8,59.1,0.0,Medium,66.3,True,Low,0,1,1,68.0,Isabella Thompson,Low
Female,83.4,16.3,76.4,1.0,High,81.3,False,Average,0,2,0,102.0,Olivia Moore,Average
Male,83.3,18.7,75.1,1.0,Medium,78.9,False,Average,1,1,0,200.0,David Perez,Average
Female,93.7,16.2,92.6,1.0,Low,80.2,False,Average,0,0,0,790.0,John Sanchez,Average
Male,87.8,18.3,71.1,4.0,Medium,96.7,False,High,1,1,0,559.0,,High
Male,84.0,17.3,61.5,1.0,Medium,83.2,True,Average,1,1,1,527.0,Sofia Martinez,Average
Male,75.1,17.1,47.9,1.0,High,76.5,False,Average,1,2,0,888.0,Olivia Taylor,Average
Male,82.5,5.6,69.2,1.0,Low,63.4,False,Low,1,0,0,618.0,Noah Jackson,Low
Female,68.0,14.4,92.2,2.0,Medium,80.0,True,Average,0,1,1,545.0,Jackson Miller,Average
Male,66.7,27.3,80.7,2.0,Medium,84.5,True,Average,1,1,1,923.0,Mia Ramirez,Average
Male,100.0,15.7,87.1,1.0,Medium,97.1,False,High,1,1,0,667.0,Amelia Sanchez,Average
Female,78.2,16.2,85.4,2.0,High,89.4,True,High,0,2,1,389.0,Sebastian Robinson,High
Male,71.9,15.2,65.6,2.0,Medium,86.4,True,High,1,1,1,255.0,Evelyn Thompson,High
Female,78.1,10.9,56.0,1.0,Medium,69.9,False,Low,0,1,0,281.0,Ava Sanchez,Low
Female,77.3,8.8,62.5,0.0,High,58.1,False,Low,0,2,0,449.0,Amelia Sanchez,Low
Female,78.1,18.2,83.6,0.0,High,85.5,True,High,0,2,1,101.0,Jackson Moore,Average
Male,87.5,5.6,65.9,0.0,Medium,77.4,True,Average,1,1,1,89.0,Emily Thompson,Average
Female,80.1,5.2,56.0,1.0,Medium,73.3,True,Average,0,1,1,64.0,Charlotte Harris,Low
Female,61.5,26.1,74.0,3.0,Medium,85.2,True,High,0,1,1,883.0,Mia Garcia,High
Male,70.6,15.4,46.9,1.0,Low,67.3,False,Low,1,0,0,433.0,Jackson Garcia,Low
Female,79.4,20.6,92.0,1.0,High,94.1,False,High,0,2,0,614.0,,High
Female,75.6,4.9,62.8,1.0,Medium,63.2,True,Low,0,1,1,939.0,Mia Young,Low
Female,74.4,13.0,57.7,2.0,Low,66.3,False,Low,0,0,0,584.0,Sarah Taylor,Low
Male,86.5,18.9,51.8,1.0,Medium,71.9,True,Average,1,1,1,214.0,Mia Robinson,Average
Male,66.1,18.8,85.2,0.0,Low,68.8,True,Low,1,0,1,110.0,Abigail Johnson,Average
Female,75.0,14.3,73.4,0.0,High,71.0,False,Average,0,2,0,918.0,Emily Moore,Average
Male,65.8,18.2,98.7,0.0,Medium,82.5,False,Average,1,1,0,216.0,Ava Brown,Average
Female,65.0,16.8,84.0,0.0,High,82.9,True,Average,0,2,1,953.0,Ethan Williams,Average
Female,63.1,11.3,78.8,1.0,Low,78.9,True,Average,0,0,1,517.0,Sebastian Moore,Average
Female,82.1,18.8,91.6,3.0,Medium,93.5,False,High,0,1,0,756.0,Mia Martinez,High
Male,77.5,21.8,69.7,1.0,Low,79.3,True,Average,1,0,1,311.0,Evelyn Jackson,Average
Male,81.7,17.5,84.0,0.0,High,92.2,True,High,1,2,1,665.0,Harper Jackson,High
Male,87.4,27.6,58.9,2.0,Medium,88.4,True,High,1,1,1,993.0,Olivia Rodriguez,High
Male,81.8,15.6,78.6,0.0,Medium,100.0,True,High,1,1,1,752.0,Emma Robinson,High
Male,79.5,17.6,58.6,0.0,Medium,74.0,True,Average,1,1,1,524.0,Jackson Jones,Average
Male,91.2,23.6,76.1,2.0,High,89.5,True,High,1,2,1,581.0,Alex Rodriguez,High
Female,86.8,3.7,75.1,0.0,Low,64.6,False,Low,0,0,0,560.0,Elizabeth Lewis,Low
Male,85.2,12.3,74.1,0.0,High,77.8,False,Average,1,2,0,674.0,Alex Sanchez,Average
Female,93.3,18.3,83.7,0.0,Medium,94.1,False,High,0,1,0,966.0,Harper Sanchez,High
Male,74.3,16.5,81.5,1.0,Low,72.2,False,Average,1,0,0,762.0,Henry Taylor,Average
Male,71.1,14.1,73.8,1.0,Medium,80.2,False,Average,1,1,0,600.0,,Average
Female,69.0,14.5,80.0,1.0,Medium,73.2,False,Average,0,1,0,313.0,Michael Clark,Average
Female,99.0,12.5,95.4,0.0,Medium,84.3,False,Average,0,1,0,514.0,Jackson Martinez,Average
Female,87.5,25.8,62.6,2.0,High,91.5,True,High,0,2,1,532.0,Emma Smith,High
Male,84.8,15.9,54.2,2.0,Medium,72.9,False,Average,1,1,0,209.0,Noah Rodriguez,Average
Male,74.5,25.6,90.7,0.0,Medium,87.7,False,High,1,1,0,487.0,James Jones,High
Male,58.2,21.5,63.8,2.0,High,92.3,False,High,1,2,0,865.0,Elizabeth Lewis,Average
Male,75.1,18.2,52.9,3.0,Low,79.6,False,Average,1,0,0,686.0,Jackson Jackson,Average
Female,83.0,16.6,79.5,1.0,High,78.3,False,Average,0,2,0,974.0,Lucas Wilson,Average
Male,100.0,14.0,60.0,3.0,High,93.1,True,High,1,2,1,540.0,John Perez,High
Male,84.1,16.2,71.3,0.0,Low,76.6,False,Average,1,0,0,56.0,Sarah Allen,Average
Female,93.9,10.1,82.7,0.0,Medium,80.1,False,Average,0,1,0,121.0,Mia Smith,Average
Female,94.4,26.5,91.9,1.0,Low,96.0,True,High,0,0,1,821.0,John Martinez,High
Male,73.9,15.3,88.0,0.0,Medium,78.0,True,Average,1,1,1,26.0,Evelyn Johnson,Average
Male,91.8,17.5,74.5,1.0,Medium,83.5,True,Average,1,1,1,73.0,Mia Sanchez,Average
Male,92.0,17.4,67.5,3.0,Low,72.6,True,Average,1,0,1,997.0,Amelia Martin,Average
Male,79.9,23.3,76.9,2.0,Medium,84.8,True,Average,1,1,1,45.0,Alex Harris,Average
Female,74.6,10.5,73.9,0.0,Low,63.3,False,Low,0,0,0,709.0,Lucas Davis,Average
Female,82.1,8.1,89.5,3.0,Medium,78.1,False,Average,0,1,0,757.0,Matthew Wilson,Average
Female,93.2,16.2,80.4,1.0,High,81.1,True,Average,0,2,1,907.0,Benjamin Rodriguez,Average
Female,62.5,12.2,78.2,1.0,Low,71.5,False,Average,0,0,0,351.0,Amelia Johnson,Average
Female,85.8,17.0,67.5,0.0,High,81.5,False,Average,0,2,0,604.0,Emma Martinez,Average
Female,73.5,18.5,79.5,0.0,Medium,74.6,False,Average,0,1,0,,Sofia Thompson,Average
Female,82.6,21.9,100.0,1.0,Medium,88.2,False,High,0,1,0,372.0,Evelyn Wilson,High
Female,100.0,20.8,74.5,3.0,Medium,77.6,True,Average,0,1,1,970.0,,Average
Male,82.6,12.0,88.5,1.0,Medium,85.6,True,High,1,1,1,657.0,Matthew Lewis,High
Male,84.8,22.8,72.9,1.0,Medium,90.9,False,High,1,1,0,175.0,Daniel Smith,High
Female,83.0,21.3,72.9,0.0,High,79.3,False,Average,0,2,0,589.0,Elizabeth Lewis,Average
Female,80.2,8.2,78.4,1.0,High,80.8,False,Average,0,2,0,737.0,Abigail Jackson,Average
Female,81.8,27.3,72.7,2.0,High,87.9,False,High,0,2,0,969.0,Sofia Lewis,High
Male,63.4,11.7,58.0,3.0,High,69.6,False,Low,1,2,0,723.0,Elizabeth Thompson,Low
Male,75.0,12.1,76.6,0.0,High,79.6,False,Average,1,2,0,210.0,Emily Young,Average
Male,77.6,10.1,66.7,0.0,Medium,71.1,False,Average,1,1,0,964.0,Liam Ramirez,Average
Female,69.3,14.7,66.3,1.0,Medium,70.8,False,Average,0,1,0,61.0,Sofia Clark,Average
Male,74.0,11.5,92.8,0.0,Medium,81.2,True,Average,1,1,1,480.0,Michael Taylor,Average
Female,75.5,0.9,70.1,1.0,High,56.5,True,Low,0,2,1,494.0,Ethan Martinez,Low
Female,88.2,16.8,79.4,0.0,Medium,78.4,False,Average,0,1,0,959.0,Charlotte Thompson,Average
Male,81.4,11.9,75.2,1.0,Medium,77.5,True,Average,1,1,1,465.0,John Lewis,Average
Male,89.2,17.8,74.5,4.0,Medium,84.0,False,Average,1,1,0,421.0,Sofia Young,Average
Male,86.8,16.2,79.9,1.0,Low,75.5,True,Average,1,0,1,717.0,Amelia Thompson,Average
Female,80.3,16.0,80.0,0.0,Medium,79.2,False,Average,0,1,0,606.0,Henry Robinson,Average
Male,93.2,13.4,88.1,1.0,Medium,85.9,True,High,1,1,1,,Noah Walker,High
Male,96.6,9.9,52.4,0.0,Medium,62.9,False,Low,1,1,0,320.0,Emily Anderson,Low
Male,73.2,17.8,73.4,1.0,Medium,75.5,False,Average,1,1,0,909.0,Isabella Johnson,Average
Female,76.2,16.7,84.2,0.0,Medium,85.2,True,High,0,1,1,257.0,Daniel Miller,High
Male,97.8,12.3,83.9,1.0,Medium,83.6,True,Average,1,1,1,,,High
Female,78.5,9.3,67.7,4.0,Medium,74.2,False,Average,0,1,0,676.0,,Average
Male,82.3,29.6,83.7,2.0,Medium,89.3,False,High,1,1,0,111.0,Ava Perez,High
Female,88.0,19.8,49.8,2.0,Medium,67.7,False,Low,0,1,0,719.0,Noah Taylor,Average
Male,75.8,18.0,74.7,1.0,Low,65.3,False,Low,1,0,0,786.0,Harper Davis,Low
Male,77.4,12.8,66.2,2.0,Medium,71.6,False,Average,1,1,0,356.0,Charlotte Moore,Average
Female,87.8,15.6,98.4,0.0,High,81.1,False,Average,0,2,0,768.0,Lucas Moore,High
Female,56.0,7.9,82.6,0.0,High,77.5,True,Average,0,2,1,,Noah Perez,Average
Male,93.1,9.4,73.0,0.0,Low,84.2,False,Average,1,0,0,,Emily Allen,Average
Female,86.9,29.8,84.3,1.0,Low,88.4,False,High,0,0,0,520.0,Harper Thomas,High
Female,83.0,22.8,89.8,0.0,Medium,89.6,False,High,0,1,0,424.0,Harper White,High
Male,88.3,20.4,89.0,2.0,Medium,100.0,False,High,1,1,0,550.0,,High
Female,94.9,16.2,81.6,1.0,High,96.8,False,High,0,2,0,753.0,Alex Perez,Average
Male,88.0,22.1,56.7,2.0,Medium,66.9,True,Low,1,1,1,443.0,Michael Young,Average
Male,100.0,16.9,73.0,0.0,Medium,78.6,True,Average,1,1,1,238.0,Benjamin Brown,Average
Male,80.2,23.0,51.1,2.0,Medium,78.0,True,Average,1,1,1,742.0,Matthew Sanchez,Average
Male,84.4,17.7,68.1,2.0,High,85.5,True,High,1,2,1,138.0,,Average
Male,94.3,22.7,75.4,0.0,Medium,75.0,False,Average,1,1,0,781.0,Sebastian Johnson,Average
Female,81.8,22.1,73.6,0.0,Low,77.9,False,Average,0,0,0,755.0,Henry Perez,Average
Male,90.9,20.5,90.6,1.0,Medium,98.5,False,High,1,1,0,290.0,Lucas Perez,High
Male,92.5,17.1,75.6,0.0,Low,77.4,True,Average,1,0,1,261.0,Emily Davis,Average
Female,84.3,12.4,80.0,2.0,Medium,74.8,True,Average,0,1,1,766.0,Emily Young,Average
Female,82.7,21.2,53.6,1.0,Medium,82.2,True,Average,0,1,1,300.0,John Smith,Average
Male,74.7,5.4,66.8,4.0,Medium,70.2,False,Average,1,1,0,219.0,Mia Ramirez,Average
Male,74.6,7.9,81.0,1.0,High,78.3,False,Average,1,2,0,788.0,Daniel Williams,Average
Female,66.4,13.6,71.9,1.0,Low,69.0,False,Low,0,0,0,429.0,John Rodriguez,Low
Female,81.0,9.0,65.2,1.0,Low,64.1,True,Low,0,0,1,627.0,James Lee,Low
Female,100.0,13.9,66.3,1.0,High,76.0,False,Average,0,2,0,729.0,Lucas Thomas,Average
Male,88.7,15.3,71.9,1.0,High,74.1,False,Average,1,2,0,366.0,Amelia Smith,Average
Male,72.7,19.7,85.4,0.0,Medium,70.2,False,Average,1,1,0,79.0,Henry Taylor,Average
Male,83.8,16.0,72.2,0.0,High,94.6,True,High,1,2,1,30.0,Mia Wilson,High
Female,93.0,22.5,72.3,0.0,High,92.8,True,High,0,2,1,295.0,,High
Male,70.4,24.5,74.5,2.0,Medium,93.0,False,High,1,1,0,478.0,John Anderson,Average
Female,79.4,20.5,67.7,1.0,Medium,81.8,True,Average,0,1,1,656.0,Amelia Miller,Average
Female,93.3,15.1,99.3,1.0,Medium,93.3,False,High,0,1,0,166.0,Jackson Brown,High
Male,83.3,4.5,79.7,2.0,Medium,70.7,False,Average,1,1,0,815.0,Emily Robinson,Average
Female,82.1,20.0,77.8,3.0,Medium,71.4,True,Average,0,1,1,179.0,Sofia Davis,Average
Male,69.7,16.1,64.9,1.0,Medium,75.9,True,Average,1,1,1,483.0,Noah Rodriguez,Average
Female,92.8,20.1,93.8,1.0,Medium,91.8,False,High,0,1,0,66.0,Sophia Anderson,High
Female,93.3,24.5,100.0,0.0,Low,88.0,True,High,0,0,1,,Liam Wilson,High
Male,84.2,3.2,75.3,2.0,High,74.8,False,Average,1,2,0,495.0,Ava Taylor,Average
Male,84.7,11.3,70.5,1.0,Low,63.2,False,Low,1,0,0,,Sophia Taylor,Low
Female,55.162500000000016,21.6,66.3,1.0,Medium,65.0,False,Low,0,1,0,,Sofia Ramirez,Low
Male,73.0,21.5,74.1,1.0,Medium,78.0,False,Average,1,1,0,779.0,Ava Martinez,Average
Male,66.1,15.7,75.5,1.0,Low,66.6,True,Low,1,0,1,328.0,Sarah Williams,Average
Female,90.5,22.4,77.4,1.0,Medium,86.8,False,High,0,1,0,678.0,Alex Taylor,High
Male,60.4,12.0,62.3,1.0,Low,56.8,True,Low,1,0,1,434.0,Michael Martin,Low
Male,79.1,13.9,71.9,1.0,Medium,80.0,False,Average,1,1,0,746.0,James Allen,Average
Male,71.7,14.7,81.7,0.0,Low,74.6,True,Average,1,0,1,,Mia Martin,Average
Female,63.5,14.1,88.9,0.0,Low,71.9,False,Average,0,0,0,,Isabella Williams,Average
Female,86.1,21.7,65.5,1.0,Medium,79.0,False,Average,0,1,0,236.0,Abigail Wilson,Average
Male,83.0,12.0,52.8,0.0,Medium,59.1,False,Low,1,1,0,322.0,Michael Rodriguez,Low
Male,87.4,23.7,85.2,0.0,High,84.1,False,Average,1,2,0,193.0,Ethan Garcia,High
Female,70.8,18.8,74.1,1.0,Medium,76.4,False,Average,0,1,0,319.0,David Thomas,Average
Female,81.8,14.2,62.6,0.0,High,87.0,False,High,0,2,0,50.0,Emily Brown,Average
Male,76.6,12.6,65.3,0.0,Low,66.3,False,Low,1,0,0,741.0,Jackson Taylor,Low
Male,73.5,15.1,59.2,1.0,Low,69.1,True,Low,1,0,1,3.0,Evelyn Martin,Low
Female,81.8,16.2,100.0,0.0,Medium,92.9,True,High,0,1,1,446.0,Evelyn Johnson,High
Male,81.1,14.3,59.1,0.0,Medium,66.1,False,Low,1,1,0,920.0,Evelyn Jackson,Low
Male,80.4,15.3,71.7,1.0,Medium,80.3,True,Average,1,1,1,250.0,Sarah Allen,Average
Male,67.1,22.0,70.4,1.0,High,83.8,False,Average,1,2,0,760.0,Abigail Lee,Average
Female,89.7,17.8,89.8,1.0,High,85.1,True,High,0,2,1,362.0,Sebastian Williams,High
Female,97.5,22.4,57.9,2.0,High,87.7,False,High,0,2,0,963.0,Elizabeth Jones,High
Female,71.3,11.4,77.9,0.0,Medium,76.5,False,Average,0,1,0,34.0,Henry Martinez,Average
Male,93.9,13.5,73.0,1.0,High,83.1,False,Average,1,2,0,205.0,Mia Thompson,Average
Male,91.7,30.3,66.7,2.0,Medium,100.0,False,High,1,1,0,534.0,Ava Garcia,High
Female,74.8,13.6,92.0,4.0,Low,89.6,False,High,0,0,0,685.0,Olivia Wilson,High
Male,77.4,18.9,75.1,0.0,Low,74.2,False,Average,1,0,0,747.0,Amelia Allen,Average
Male,65.1,6.3,71.0,1.0,Medium,71.1,False,Average,1,1,0,78.0,Liam Jones,Average
Male,95.6,15.7,71.8,1.0,High,78.9,False,Average,1,2,0,85.0,Ethan Miller,Average
Female,90.8,19.5,78.6,1.0,Medium,84.7,False,Average,0,1,0,383.0,David Wilson,Average
Male,84.4,14.1,73.2,3.0,Medium,71.5,False,Average,1,1,0,83.0,Emma Young,Average
Male,76.1,15.0,58.4,3.0,Medium,73.3,True,Average,1,1,1,381.0,John Allen,Average
Male,87.4,16.2,66.3,0.0,Medium,71.7,False,Average,1,1,0,430.0,Abigail Clark,Average
Female,90.3,18.9,69.3,1.0,High,87.4,True,High,0,2,1,878.0,Matthew Robinson,High
Female,68.4,24.3,64.1,3.0,Medium,75.4,False,Average,0,1,0,530.0,Sofia Walker,Average
Male,82.3,14.8,70.7,1.0,Low,76.0,False,Average,1,0,0,523.0,Olivia Garcia,Average
Female,86.5,14.7,69.7,0.0,Medium,65.5,False,Low,0,1,0,831.0,Noah Wilson,Low
Male,75.4,6.3,72.9,0.0,High,65.0,True,Low,1,2,1,293.0,David Thomas,Low
Male,82.4,11.4,99.8,1.0,Low,74.1,False,Average,1,0,0,6.0,Elizabeth Walker,Average
Male,81.8,20.5,78.9,1.0,Medium,84.5,False,Average,1,1,0,423.0,Matthew Lee,Average
Male,74.6,16.7,89.8,1.0,Medium,91.0,True,High,1,1,1,957.0,Benjamin Jackson,Average
Female,89.7,21.0,79.9,0.0,Medium,82.7,False,Average,0,1,0,98.0,Daniel Sanchez,Average
Male,96.8,19.9,65.9,0.0,Medium,82.4,True,Average,1,1,1,282.0,Lucas Sanchez,Average
Male,79.2,15.6,70.8,0.0,Medium,66.2,False,Low,1,1,0,645.0,Emily Brown,Low
Male,80.1,20.7,69.2,0.0,High,83.0,False,Average,1,2,0,884.0,Emma Lewis,Average
Female,72.6,10.6,74.5,1.0,High,84.9,False,Average,0,2,0,267.0,Mia Johnson,Average
Male,71.2,16.2,74.5,0.0,Low,84.0,True,Average,1,0,1,440.0,Isabella Young,Average
Male,69.8,10.4,74.5,1.0,High,66.3,False,Low,1,2,0,592.0,Sofia Wilson,Low
Male,81.8,10.9,77.6,1.0,High,84.8,True,Average,1,2,1,787.0,John Garcia,Average
Male,73.9,20.1,74.5,1.0,Low,69.1,True,Low,1,0,1,663.0,Sarah Garcia,Average
Female,88.2,18.5,61.2,2.0,High,81.5,False,Average,0,2,0,892.0,Abigail Davis,Average
Female,59.9,16.2,81.7,2.0,Medium,81.7,True,Average,0,1,1,119.0,Noah Harris,Average
Male,82.1,20.2,100.0,2.0,Medium,90.8,False,High,1,1,0,848.0,Sarah Martin,High
